trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2227,False,"{'a': 0.9, 'e': 0.10785149978837902}",25,11,11.518014171364992,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2228,False,"{'a': 0.9, 'e': 0.10774370219636975}",20,2,20.193806528184297,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
2229,False,"{'a': 0.9, 'e': 0.10763601234807169}",30,24,8.738291442530116,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2230,False,"{'a': 0.9, 'e': 0.10752843013579495}",20,16,7.90341574557007,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2231,False,"{'a': 0.9, 'e': 0.10742095545195732}",30,11,-18.956575664943443,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
2232,False,"{'a': 0.9, 'e': 0.10731358818908403}",30,20,17.39104774671073,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2233,False,"{'a': 0.9, 'e': 0.10720632823980793}",20,13,-15.148192628139482,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
2234,False,"{'a': 0.9, 'e': 0.107099175496869}",20,12,15.244136418283148,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2235,False,"{'a': 0.9, 'e': 0.10699212985311449}",30,18,21.42448387772061,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2236,False,"{'a': 0.9, 'e': 0.1068851912014987}",20,8,21.188940090093165,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2237,False,"{'a': 0.9, 'e': 0.10677835943508306}",20,5,2.7188951786796993,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 0}",1
2238,False,"{'a': 0.9, 'e': 0.10667163444703576}",30,8,4.2736424130454616,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 0}",1
2239,False,"{'a': 0.9, 'e': 0.1065650161306318}",25,16,9.281494635995507,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
2240,False,"{'a': 0.9, 'e': 0.1064585043792528}",20,11,17.930460074280546,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2241,False,"{'a': 0.9, 'e': 0.1063520990863871}",25,13,9.904147962051304,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
2242,False,"{'a': 0.9, 'e': 0.10624580014562934}",25,15,14.747920956492038,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2243,False,"{'a': 0.9, 'e': 0.1061396074506806}",20,7,9.76786292867323,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
2244,False,"{'a': 0.9, 'e': 0.1060335208953481}",20,10,19.734479685453362,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2245,False,"{'a': 0.9, 'e': 0.10592754037354536}",20,8,9.69796258465049,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2246,False,"{'a': 0.9, 'e': 0.10582166577929185}",20,13,14.844217048395347,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2247,False,"{'a': 0.9, 'e': 0.10571589700671291}",30,24,13.501868706157644,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2248,False,"{'a': 0.9, 'e': 0.10561023395003975}",20,5,15.648173080335972,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
2249,False,"{'a': 0.9, 'e': 0.1055046765036094}",20,10,6.92924979075477,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
2250,False,"{'a': 0.9, 'e': 0.10539922456186433}",20,16,8.407567320750312,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2251,False,"{'a': 0.9, 'e': 0.10529387801935262}",25,15,18.393273793126234,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2252,False,"{'a': 0.9, 'e': 0.10518863677072765}",20,14,11.81788043556406,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2253,False,"{'a': 0.9, 'e': 0.10508350071074826}",20,6,22.09608480363342,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
