trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.999000499833375}",30,0,-54.13451893124846,"{0: 22, 1: 5, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.9980019986673331}",20,0,-148.05407146511834,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
3,False,"{'a': 0.9, 'e': 0.997004495503373}",25,0,-100.44228669289174,"{0: 15, 1: 3, 2: 4, 3: 3, 4: 0}",0
4,False,"{'a': 0.9, 'e': 0.9960079893439915}",20,2,-112.65265981930656,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 2}",1
5,False,"{'a': 0.9, 'e': 0.9950124791926823}",25,0,-93.49377009093948,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.9940179640539353}",25,0,-84.02204340636969,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.9930244429332351}",25,0,-215.73779593903214,"{0: 12, 1: 4, 2: 3, 3: 3, 4: 3}",0
8,False,"{'a': 0.9, 'e': 0.9920319148370607}",20,0,-117.88530687184829,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.9, 'e': 0.9910403787728836}",20,0,-43.444600358967875,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.9900498337491681}",25,0,-106.89708291206348,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.9890602787753687}",30,0,-263.11278889366406,"{0: 13, 1: 6, 2: 5, 3: 2, 4: 4}",0
12,False,"{'a': 0.9, 'e': 0.9880717128619305}",20,0,-120.40075091196002,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.9, 'e': 0.9870841350202876}",20,0,-83.57555827175838,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.9, 'e': 0.9860975442628619}",30,2,-222.59582290066012,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 4}",1
15,False,"{'a': 0.9, 'e': 0.9851119396030626}",20,0,-83.7604989980093,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.9, 'e': 0.9841273200552851}",25,0,-74.65361458159717,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.9, 'e': 0.9831436846349096}",25,0,-154.058262059605,"{0: 10, 1: 8, 2: 5, 3: 0, 4: 2}",1
18,False,"{'a': 0.9, 'e': 0.9821610323583008}",20,0,-87.23993418086272,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.9, 'e': 0.981179362242806}",25,0,-69.17780141105766,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
20,False,"{'a': 0.9, 'e': 0.9801986733067553}",25,0,-125.17074213872672,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
21,False,"{'a': 0.9, 'e': 0.9792189645694596}",25,0,-231.2925274331989,"{0: 9, 1: 4, 2: 8, 3: 1, 4: 3}",0
22,False,"{'a': 0.9, 'e': 0.97824023505121}",20,0,-95.36956669754923,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.9, 'e': 0.9772624837732771}",20,13,-19.491079400516327,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.9, 'e': 0.9762857097579093}",20,0,-44.16963658344237,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
25,False,"{'a': 0.9, 'e': 0.9753099120283326}",25,0,-104.1190466158774,"{0: 12, 1: 5, 2: 7, 3: 1, 4: 0}",0
26,False,"{'a': 0.9, 'e': 0.9743350896087494}",30,0,-129.1547271416532,"{0: 16, 1: 7, 2: 5, 3: 1, 4: 1}",0
27,False,"{'a': 0.9, 'e': 0.9733612415243368}",20,0,-122.22644010858309,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
28,False,"{'a': 0.9, 'e': 0.9723883668012469}",20,0,-90.4954820997844,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
29,False,"{'a': 0.9, 'e': 0.9714164644666048}",25,0,-108.70035221187042,"{0: 14, 1: 0, 2: 10, 3: 1, 4: 0}",0
30,False,"{'a': 0.9, 'e': 0.9704455335485082}",30,0,-124.17141891054933,"{0: 16, 1: 3, 2: 9, 3: 2, 4: 0}",0
31,False,"{'a': 0.9, 'e': 0.9694755730760259}",25,7,-75.60434168077008,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 0}",1
32,False,"{'a': 0.9, 'e': 0.9685065820791976}",30,0,-184.09563120424048,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
33,False,"{'a': 0.9, 'e': 0.967538559589032}",20,0,-97.94544214092056,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
34,False,"{'a': 0.9, 'e': 0.9665715046375066}",20,0,-131.72038654145095,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
35,False,"{'a': 0.9, 'e': 0.9656054162575665}",20,0,-96.94697442028362,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
36,False,"{'a': 0.9, 'e': 0.9646402934831231}",20,0,-39.4146521541329,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
37,False,"{'a': 0.9, 'e': 0.9636761353490535}",30,0,-129.49884725940476,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
38,False,"{'a': 0.9, 'e': 0.9627129408911995}",25,0,-71.44706193556944,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
39,False,"{'a': 0.9, 'e': 0.9617507091463667}",25,0,-164.62302588778462,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
40,False,"{'a': 0.9, 'e': 0.9607894391523232}",20,6,-66.52046528659224,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
41,False,"{'a': 0.9, 'e': 0.9598291299477989}",30,0,-231.4917886154198,"{0: 15, 1: 3, 2: 7, 3: 2, 4: 3}",0
42,False,"{'a': 0.9, 'e': 0.9588697805724845}",20,0,-74.6104183558287,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.9, 'e': 0.9579113900670306}",25,0,-122.99706930241635,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
44,False,"{'a': 0.9, 'e': 0.9569539574730467}",25,9,-62.085046545231066,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 0}",1
45,False,"{'a': 0.9, 'e': 0.9559974818331}",25,0,-184.6560887218831,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
46,False,"{'a': 0.9, 'e': 0.9550419621907147}",20,0,-194.32470234084718,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
47,False,"{'a': 0.9, 'e': 0.9540873975903711}",25,0,-146.0004612195487,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
48,False,"{'a': 0.9, 'e': 0.9531337870775047}",20,0,-154.4721210029097,"{0: 8, 1: 4, 2: 4, 3: 3, 4: 1}",0
49,False,"{'a': 0.9, 'e': 0.9521811296985049}",25,0,-220.12851098196037,"{0: 10, 1: 1, 2: 10, 3: 2, 4: 2}",0
50,False,"{'a': 0.9, 'e': 0.951229424500714}",30,0,-82.76963826034219,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
51,False,"{'a': 0.9, 'e': 0.950278670532427}",25,11,-29.324534965598595,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 0}",1
52,False,"{'a': 0.9, 'e': 0.9493288668428895}",30,0,-230.9820998008395,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
53,False,"{'a': 0.9, 'e': 0.9483800124822982}",30,0,-87.87944602026832,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 0}",0
54,False,"{'a': 0.9, 'e': 0.9474321065017983}",25,0,-110.46681841802287,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
55,False,"{'a': 0.9, 'e': 0.9464851479534838}",25,0,-93.37640136000718,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 0.9, 'e': 0.9455391358903963}",25,7,-32.35933974803335,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 0}",1
57,False,"{'a': 0.9, 'e': 0.9445940693665233}",30,0,-157.05804030723064,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
58,False,"{'a': 0.9, 'e': 0.9436499474367985}",20,0,-98.12496520112113,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
59,False,"{'a': 0.9, 'e': 0.9427067691570997}",20,0,-102.1745630337618,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.9, 'e': 0.9417645335842487}",20,0,-109.42838106678724,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
61,False,"{'a': 0.9, 'e': 0.9408232397760097}",25,0,-63.02775347849396,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
62,False,"{'a': 0.9, 'e': 0.9398828867910889}",25,0,-141.6835459271606,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
63,False,"{'a': 0.9, 'e': 0.9389434736891332}",20,0,-133.6379881014681,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
64,False,"{'a': 0.9, 'e': 0.9380049995307295}",30,0,-152.70588571392926,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
65,False,"{'a': 0.9, 'e': 0.9370674633774034}",35,7,-90.78724122533589,"{0: 17, 1: 7, 2: 2, 3: 1, 4: 1}",1
66,False,"{'a': 0.9, 'e': 0.9361308642916188}",30,0,-81.58312323644809,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
67,False,"{'a': 0.9, 'e': 0.9351952013367766}",30,0,-121.9286195908542,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
68,False,"{'a': 0.9, 'e': 0.9342604735772135}",25,0,-116.59983745781751,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
69,False,"{'a': 0.9, 'e': 0.933326680078202}",20,0,-48.79142352520285,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
70,False,"{'a': 0.9, 'e': 0.9323938199059483}",30,0,-111.90754056877778,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
71,False,"{'a': 0.9, 'e': 0.9314618921275921}",20,14,-17.752713781496155,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.9, 'e': 0.9305308958112057}",20,0,-203.53233800495474,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 5}",0
73,False,"{'a': 0.9, 'e': 0.9296008300257927}",20,0,-115.1020782097813,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
74,False,"{'a': 0.9, 'e': 0.9286716938412872}",25,0,-159.2505694374482,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
75,False,"{'a': 0.9, 'e': 0.9277434863285529}",25,0,-285.6096133178399,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 6}",0
76,False,"{'a': 0.9, 'e': 0.9268162065593822}",20,0,-71.79388803752575,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
77,False,"{'a': 0.9, 'e': 0.9258898536064953}",20,0,-56.6622321167554,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
78,False,"{'a': 0.9, 'e': 0.9249644265435393}",30,0,-170.78715159141007,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
79,False,"{'a': 0.9, 'e': 0.9240399244450868}",25,0,-164.6383437275879,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
80,False,"{'a': 0.9, 'e': 0.9231163463866358}",25,0,-109.7287249590185,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
81,False,"{'a': 0.9, 'e': 0.922193691444608}",25,2,-35.19021152675473,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 0}",1
82,False,"{'a': 0.9, 'e': 0.9212719586963487}",30,0,-67.18298053336515,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
83,False,"{'a': 0.9, 'e': 0.9203511472201247}",30,0,-113.96526279837497,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
84,False,"{'a': 0.9, 'e': 0.9194312560951247}",35,0,-221.88116157451077,"{0: 21, 1: 2, 2: 7, 3: 2, 4: 3}",0
85,False,"{'a': 0.9, 'e': 0.9185122844014574}",25,0,-174.49796329106468,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
86,False,"{'a': 0.9, 'e': 0.9175942312201509}",25,0,-155.82278232737264,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
87,False,"{'a': 0.9, 'e': 0.9166770956331523}",20,0,-172.86425284083643,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
88,False,"{'a': 0.9, 'e': 0.9157608767233256}",25,15,2.445589181534969,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.9, 'e': 0.914845573574452}",35,0,-111.1888555351704,"{0: 23, 1: 2, 2: 9, 3: 0, 4: 1}",0
90,False,"{'a': 0.9, 'e': 0.9139311852712282}",20,0,-42.41516806990563,"{0: 11, 1: 7, 2: 2, 3: 0, 4: 0}",0
91,False,"{'a': 0.9, 'e': 0.9130177108992658}",25,0,-159.10249765792125,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
92,False,"{'a': 0.9, 'e': 0.9121051495450904}",20,5,-96.26472160927631,"{0: 6, 1: 3, 2: 5, 3: 0, 4: 1}",1
93,False,"{'a': 0.9, 'e': 0.9111935002961405}",20,0,-47.3023820066441,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
94,False,"{'a': 0.9, 'e': 0.910282762240767}",20,0,-186.74025829409857,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
95,False,"{'a': 0.9, 'e': 0.9093729344682314}",25,15,-71.76464754519431,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
96,False,"{'a': 0.9, 'e': 0.9084640160687062}",30,0,-178.64504186198982,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
97,False,"{'a': 0.9, 'e': 0.9075560061332727}",25,3,-91.35099304688491,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 2}",1
98,False,"{'a': 0.9, 'e': 0.9066489037539209}",25,4,-52.42807799993569,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 0}",1
99,False,"{'a': 0.9, 'e': 0.9057427080235485}",20,0,-40.00802815293781,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
100,False,"{'a': 0.9, 'e': 0.9048374180359595}",25,10,-64.92650511023885,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
101,False,"{'a': 0.9, 'e': 0.9039330328858641}",20,0,-115.4842171934928,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
102,False,"{'a': 0.9, 'e': 0.9030295516688768}",35,0,-186.64590751551864,"{0: 19, 1: 4, 2: 9, 3: 1, 4: 2}",0
103,False,"{'a': 0.9, 'e': 0.9021269734815165}",25,0,-198.30665508432327,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
104,False,"{'a': 0.9, 'e': 0.9012252974212047}",20,0,-112.01153049187955,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
105,False,"{'a': 0.9, 'e': 0.9003245225862656}",20,0,-56.58572294398151,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
106,False,"{'a': 0.9, 'e': 0.899424648075924}",25,0,-86.09808131529522,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
107,False,"{'a': 0.9, 'e': 0.8985256729903055}",35,0,-117.47598042618486,"{0: 23, 1: 4, 2: 6, 3: 1, 4: 1}",0
108,False,"{'a': 0.9, 'e': 0.8976275964304349}",20,0,-118.41450690779213,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
109,False,"{'a': 0.9, 'e': 0.8967304174982355}",30,0,-120.11739217946044,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
110,False,"{'a': 0.9, 'e': 0.8958341352965282}",30,0,-54.552040462771544,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
111,False,"{'a': 0.9, 'e': 0.894938748929031}",20,0,-130.64833361030705,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
112,False,"{'a': 0.9, 'e': 0.8940442575003572}",20,0,-151.75925836511593,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
113,False,"{'a': 0.9, 'e': 0.8931506601160155}",20,0,-113.85097029312331,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
114,False,"{'a': 0.9, 'e': 0.8922579558824083}",20,0,-44.11253716988329,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
115,False,"{'a': 0.9, 'e': 0.8913661439068313}",25,13,-33.94556730837842,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.9, 'e': 0.8904752232974726}",20,0,-61.19567630366232,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
117,False,"{'a': 0.9, 'e': 0.8895851931634113}",20,0,-37.18087983120262,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
118,False,"{'a': 0.9, 'e': 0.8886960526146174}",25,0,-114.5593431169149,"{0: 16, 1: 5, 2: 1, 3: 1, 4: 2}",0
119,False,"{'a': 0.9, 'e': 0.8878078007619501}",30,0,-112.43312061824686,"{0: 16, 1: 6, 2: 6, 3: 2, 4: 0}",0
120,False,"{'a': 0.9, 'e': 0.8869204367171575}",20,0,-76.0034470636626,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
121,False,"{'a': 0.9, 'e': 0.8860339595928756}",30,0,-38.678978219914825,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
122,False,"{'a': 0.9, 'e': 0.8851483685026271}",30,0,-195.55060627146696,"{0: 15, 1: 5, 2: 5, 3: 3, 4: 2}",0
123,False,"{'a': 0.9, 'e': 0.8842636625608209}",20,0,-107.74783506063396,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
124,False,"{'a': 0.9, 'e': 0.8833798408827509}",25,0,-124.67970183168605,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
125,False,"{'a': 0.9, 'e': 0.8824969025845955}",20,0,-46.12472474089592,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
126,False,"{'a': 0.9, 'e': 0.8816148467834161}",25,0,-195.22316624240932,"{0: 12, 1: 3, 2: 5, 3: 3, 4: 2}",0
127,False,"{'a': 0.9, 'e': 0.880733672597157}",25,0,-177.6991239335563,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
128,False,"{'a': 0.9, 'e': 0.8798533791446438}",20,0,-110.82363936114893,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
129,False,"{'a': 0.9, 'e': 0.8789739655455832}",25,14,4.170711727936862,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.9, 'e': 0.8780954309205613}",30,15,-71.54950833923205,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
131,False,"{'a': 0.9, 'e': 0.8772177743910435}",25,0,-159.7613406385043,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
132,False,"{'a': 0.9, 'e': 0.8763409950793732}",25,0,-192.9949276649213,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
133,False,"{'a': 0.9, 'e': 0.8754650921087711}",20,0,-59.38540550009057,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
134,False,"{'a': 0.9, 'e': 0.874590064603334}",25,0,-135.74391702619963,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
135,False,"{'a': 0.9, 'e': 0.8737159116880344}",25,14,-28.310675076077754,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 0}",1
136,False,"{'a': 0.9, 'e': 0.8728426324887193}",25,0,-192.04888893088798,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
137,False,"{'a': 0.9, 'e': 0.8719702261321094}",25,0,-81.00264400624324,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
138,False,"{'a': 0.9, 'e': 0.8710986917457983}",20,12,-71.05120858331541,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
139,False,"{'a': 0.9, 'e': 0.8702280284582515}",35,11,-140.47097350915217,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 1}",1
140,False,"{'a': 0.9, 'e': 0.8693582353988059}",25,0,-105.30794841252263,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
141,False,"{'a': 0.9, 'e': 0.8684893116976679}",20,0,-52.454113194014134,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
142,False,"{'a': 0.9, 'e': 0.867621256485914}",20,0,-62.90852971280442,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
143,False,"{'a': 0.9, 'e': 0.8667540688954889}",20,8,-45.58953408183926,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
144,False,"{'a': 0.9, 'e': 0.865887748059205}",20,0,-70.53567489269638,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
145,False,"{'a': 0.9, 'e': 0.8650222931107413}",25,0,-27.78431058035076,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
146,False,"{'a': 0.9, 'e': 0.8641577031846428}",25,0,-105.51038281285746,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
147,False,"{'a': 0.9, 'e': 0.8632939774163194}",20,0,-135.6672268683605,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
148,False,"{'a': 0.9, 'e': 0.8624311149420455}",25,0,-132.02894406588803,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
149,False,"{'a': 0.9, 'e': 0.8615691148989583}",25,0,-176.32795334537386,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
150,False,"{'a': 0.9, 'e': 0.8607079764250578}",20,0,-98.83751321632603,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
151,False,"{'a': 0.9, 'e': 0.8598476986592055}",25,0,-162.0886113837237,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
152,False,"{'a': 0.9, 'e': 0.8589882807411234}",25,0,-74.29309768379646,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
153,False,"{'a': 0.9, 'e': 0.8581297218113938}",20,0,-101.92057342103536,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
154,False,"{'a': 0.9, 'e': 0.8572720210114575}",20,0,-92.8851309965203,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
155,False,"{'a': 0.9, 'e': 0.8564151774836135}",30,0,-154.22123931074412,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
156,False,"{'a': 0.9, 'e': 0.8555591903710185}",35,10,-146.8302362780989,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",1
157,False,"{'a': 0.9, 'e': 0.8547040588176851}",25,2,-187.31172043718755,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 4}",1
158,False,"{'a': 0.9, 'e': 0.8538497819684817}",20,9,-13.88154681928615,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.9, 'e': 0.8529963589691315}",20,0,-53.793126548976105,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
160,False,"{'a': 0.9, 'e': 0.8521437889662113}",20,0,-99.47373228417896,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
161,False,"{'a': 0.9, 'e': 0.8512920711071511}",25,0,-181.50739508024273,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
162,False,"{'a': 0.9, 'e': 0.850441204540233}",20,2,-90.55470964865859,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 0}",1
163,False,"{'a': 0.9, 'e': 0.8495911884145902}",25,0,-182.17152424699964,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
164,False,"{'a': 0.9, 'e': 0.8487420218802068}",25,0,-124.80068569256598,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
165,False,"{'a': 0.9, 'e': 0.8478937040879159}",20,0,-90.18617105821993,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
166,False,"{'a': 0.9, 'e': 0.8470462341893996}",30,3,-49.17545151716797,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 0}",1
167,False,"{'a': 0.9, 'e': 0.8461996113371882}",30,0,-65.35829831570182,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",0
168,False,"{'a': 0.9, 'e': 0.8453538346846587}",25,0,-118.68309864547243,"{0: 13, 1: 8, 2: 2, 3: 0, 4: 2}",0
169,False,"{'a': 0.9, 'e': 0.8445089033860343}",25,3,-16.72687746684452,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 0}",1
170,False,"{'a': 0.9, 'e': 0.8436648165963837}",30,0,-156.83385028503375,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
171,False,"{'a': 0.9, 'e': 0.8428215734716199}",25,0,-217.89903275174643,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 5}",0
172,False,"{'a': 0.9, 'e': 0.8419791731684999}",25,0,-155.47157978576823,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
173,False,"{'a': 0.9, 'e': 0.8411376148446232}",25,0,-109.72272524320091,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
174,False,"{'a': 0.9, 'e': 0.8402968976584314}",20,0,-108.12128099478333,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
175,False,"{'a': 0.9, 'e': 0.8394570207692074}",35,0,-190.6026717185093,"{0: 22, 1: 3, 2: 6, 3: 1, 4: 3}",0
176,False,"{'a': 0.9, 'e': 0.838617983337074}",30,0,-70.04487197448378,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
177,False,"{'a': 0.9, 'e': 0.8377797845229938}",25,0,-216.92725234390267,"{0: 13, 1: 4, 2: 2, 3: 2, 4: 4}",0
178,False,"{'a': 0.9, 'e': 0.8369424234887681}",20,0,-79.15404713274164,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
179,False,"{'a': 0.9, 'e': 0.8361058993970355}",20,0,-127.67495435191123,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
180,False,"{'a': 0.9, 'e': 0.835270211411272}",20,0,-38.5260175647728,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
181,False,"{'a': 0.9, 'e': 0.8344353586957896}",20,0,-10.81986155241752,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
182,False,"{'a': 0.9, 'e': 0.8336013404157353}",35,5,-189.83648624353006,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 3}",1
183,False,"{'a': 0.9, 'e': 0.832768155737091}",20,3,-160.82204875962205,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 3}",1
184,False,"{'a': 0.9, 'e': 0.8319358038266718}",20,14,-9.371930848289818,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
